YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
201912,1455644,1,24,5820597,0,0031,100,000,201603,3300,1,01,202103,28000,0
201812,1355277,1,24,3207317,0,0031,100,000,201511,100,0,00,000000,0,0
202004,1803098,1,24,9195868,0,0031,100,000,201701,2900,1,01,202201,24000,0
201807,678251,1,24,391393,0,0031,100,000,201204,4700,0,00,000000,0,0
201904,1921224,1,24,5903209,0,0031,100,000,201412,8600,0,00,000000,0,0
201910,1875318,1,24,3041465,0,0031,100,000,201001,2200,0,00,000000,0,0
201908,463993,1,24,6912529,0,0031,100,000,201407,1100,0,00,000000,0,0
201911,427265,1,24,7298284,0,0031,100,000,201902,1800,1,04,202208,24000,0
201908,1032629,1,24,7419677,0,0031,100,000,201904,1300,1,01,202404,24000,0
202003,1439566,1,24,3296262,0,0031,100,000,201511,3300,0,00,000000,0,0
202006,453147,1,24,6034387,0,0031,100,000,201605,3200,1,01,202205,24000,0
202002,1374501,1,24,5930702,0,0031,100,000,201712,140,1,04,202004,28000,0
201808,1127092,1,24,5681662,0,0031,100,000,201605,8500,0,00,000000,0,0
201905,1116255,1,24,4056071,0,0031,100,000,201711,4000,1,04,202011,28000,0
201901,1876977,1,24,8277519,0,0031,100,000,201806,2000,0,00,000000,0,0
201909,737905,1,24,3366790,0,0031,100,000,201505,2400,1,01,202005,24000,0
201902,952870,1,24,6469422,0,0031,100,000,201608,7000,0,00,000000,0,0
201912,327475,1,24,640993,0,0031,100,000,201911,8600,1,04,202111,24000,0
201906,1714372,1,24,7987222,0,0031,590,000,201409,7600,0,00,000000,0,0
201912,1593802,1,24,4889361,0,0031,100,000,201509,3400,1,01,202009,30000,0
201811,1777994,1,24,1667444,0,0031,100,000,201610,3300,0,00,000000,0,0
201903,518578,1,24,4589673,0,0031,100,000,201602,7900,1,04,201904,28000,0
201905,1374501,1,24,5930702,0,0031,100,000,201712,1200,1,04,202004,28000,0
201908,1012213,1,24,7236651,0,0031,100,000,201001,120,0,00,000000,0,0
202006,1040735,1,24,8738665,0,0031,100,000,201602,2800,0,00,000000,0,0
201808,1043858,1,24,1236592,0,0031,100,000,201706,900,0,00,000000,0,0
201908,48064,1,24,3781194,0,0031,510,000,201606,790,0,00,000000,0,0
201810,1011342,1,24,9681885,0,0031,100,000,201705,11000,0,00,000000,0,0
201902,980768,1,24,4046079,0,0031,100,000,201709,2200,0,00,000000,0,0
201807,1082916,1,24,9437797,0,0031,100,000,201509,3300,0,00,000000,0,0
201903,246923,1,24,5744777,0,0031,100,000,201802,10000,0,00,000000,0,0
201811,1327837,1,24,7464886,0,0031,100,000,201607,2700,0,00,000000,0,0
201902,1116255,1,24,4056071,0,0031,100,000,201711,4500,0,00,000000,0,0
202001,674916,1,24,6992312,0,0031,100,000,201601,850,0,00,000000,0,0
201908,773478,1,24,9712239,0,0031,100,000,201810,1600,1,04,202110,24000,0
201807,64037,1,24,7283109,0,0031,100,000,201511,3900,0,00,000000,0,0
201911,1094668,1,24,1477767,0,0031,100,000,201306,6200,0,00,000000,0,0
201808,1819213,1,24,6740822,0,0031,100,000,201104,9800,0,00,000000,0,0
